customer_id,signup_date,city,acquisition_channel,gender,age_group
41,2025-08-27,Chandigarh,Direct,Male,25-34
42,2025-01-26,Lucknow,Paid Social,Male,25-34
43,2024-11-01,Lucknow,Paid Search,Male,45-54
44,2024-12-31,Hyderabad,Organic Search,Female,25-34
45,2025-03-20,Gorakhpur,Direct,Female,45-54
46,2025-12-08,Ahmedabad,Direct,Female,35-44
47,2024-11-25,Ahmedabad,Direct,Female,18-24
48,2025-04-01,Mumbai,Affiliate,Male,18-24
49,2025-08-04,Kochi,Paid Social,Male,18-24
50,2025-07-03,Jaipur,Organic Search,Female,18-24
51,2025-05-16,Lucknow,Direct,Male,45-54
52,2024-11-01,Kolkata,Paid Search,Female,35-44
53,2025-04-06,Jaipur,Paid Social,Male,45-54
54,2025-08-29,Mumbai,Email,Male,25-34
55,2024-12-14,Pune,Direct,Male,35-44
56,2025-08-22,Kolkata,Organic Search,Female,25-34
57,2025-12-24,Gorakhpur,Paid Social,Male,18-24
58,2025-06-04,Chandigarh,Email,Female,45-54
59,2025-01-30,Bengaluru,Paid Search,Male,25-34
60,2024-11-08,Gorakhpur,Affiliate,Male,18-24
61,2025-10-22,Hyderabad,Email,Female,45-54
62,2024-12-23,Gorakhpur,Email,Male,18-24
63,2024-11-28,Bengaluru,Email,Male,25-34
64,2025-07-28,Kolkata,Direct,Male,35-44
65,2024-11-24,Kochi,Paid Social,Male,35-44
66,2025-01-31,Chandigarh,Direct,Other,18-24
67,2025-03-21,Bengaluru,Referral,Female,25-34
68,2025-09-17,Chandigarh,Paid Social,Male,45-54
69,2025-12-10,Gorakhpur,Paid Social,Female,45-54
70,2025-03-17,Kolkata,Paid Social,Female,45-54
71,2024-11-09,Chandigarh,Direct,Female,18-24
72,2024-11-08,Indore,Organic Search,Male,25-34
73,2025-07-21,Mumbai,Paid Social,Female,35-44
74,2025-02-25,Mumbai,Affiliate,Female,25-34
75,2025-02-19,Jaipur,Paid Search,Female,18-24
76,2024-11-09,Lucknow,Paid Search,Male,35-44
77,2025-10-03,Kolkata,Organic Search,Female,18-24
78,2025-07-12,Hyderabad,Paid Search,Male,25-34
79,2025-06-21,Pune,Organic Search,Female,45-54
80,2024-11-20,Pune,Organic Search,Female,45-54
81,2025-08-15,Hyderabad,Paid Social,Male,45-54
82,2025-05-04,Mumbai,Organic Search,Female,18-24
83,2025-11-26,Lucknow,Paid Social,Female,35-44
84,2025-02-23,Kochi,Paid Search,Male,25-34
85,2025-01-02,Indore,Direct,Female,35-44
86,2024-11-27,Chennai,Paid Social,Female,45-54
87,2025-12-09,Chennai,Affiliate,Female,45-54
88,2025-01-24,Hyderabad,Referral,Male,25-34
89,2025-06-19,Indore,Paid Search,Female,25-34
90,2025-02-22,Indore,Paid Social,Female,45-54
91,2025-06-14,Pune,Organic Search,Female,25-34
92,2025-07-07,Mumbai,Affiliate,Female,45-54
93,2025-04-28,Bhopal,Paid Search,Male,45-54
94,2025-04-10,Chennai,Affiliate,Male,18-24
95,2024-11-13,Gorakhpur,Paid Social,Female,18-24
96,2025-04-19,Gorakhpur,Direct,Female,35-44
97,2025-12-07,Bengaluru,Paid Search,Female,25-34
98,2025-03-26,Lucknow,Paid Search,Male,25-34
99,2025-02-25,Chandigarh,Paid Social,Male,25-34
100,2025-01-17,Mumbai,Organic Search,Female,18-24
101,2024-11-14,Delhi,Referral,Female,35-44
102,2025-03-01,Ahmedabad,Organic Search,Female,18-24
103,2025-02-22,Chennai,Direct,Female,18-24
104,2025-08-31,Kochi,Organic Search,Female,18-24
105,2025-06-16,Indore,Organic Search,Female,25-34
106,2025-04-14,Kolkata,Paid Social,Male,25-34
107,2025-08-24,Delhi,Direct,Male,45-54
108,2025-02-05,Bhopal,Direct,Female,45-54
109,2025-02-02,Hyderabad,Direct,Female,18-24
110,2025-04-26,Jaipur,Affiliate,Female,35-44
111,2024-12-02,Gorakhpur,Organic Search,Male,35-44
112,2025-05-06,Lucknow,Direct,Female,35-44
113,2025-09-21,Kochi,Direct,Male,35-44
114,2025-11-07,Gorakhpur,Paid Search,Female,18-24
115,2024-12-13,Chennai,Organic Search,Male,45-54
116,2025-02-14,Kolkata,Organic Search,Female,45-54
117,2025-05-25,Gorakhpur,Direct,Male,25-34
118,2025-04-15,Delhi,Paid Search,Female,45-54
119,2025-05-17,Bengaluru,Email,Female,25-34
120,2025-09-03,Jaipur,Referral,Male,45-54
121,2025-06-20,Kochi,Paid Social,Female,25-34
122,2024-11-08,Chandigarh,Organic Search,Female,18-24
123,2024-12-24,Delhi,Paid Search,Male,45-54
124,2025-04-13,Mumbai,Organic Search,Female,35-44
125,2025-04-09,Chandigarh,Affiliate,Male,25-34
126,2025-12-24,Kochi,Organic Search,Male,25-34
127,2025-01-01,Ahmedabad,Referral,Female,18-24
128,2025-02-22,Chandigarh,Referral,Male,25-34
129,2025-08-31,Chennai,Paid Search,Male,45-54
130,2024-11-25,Hyderabad,Organic Search,Male,18-24
131,2025-04-22,Lucknow,Paid Search,Female,35-44
132,2025-12-16,Lucknow,Paid Social,Female,18-24
133,2024-11-18,Kolkata,Affiliate,Male,35-44
134,2025-10-05,Kochi,Organic Search,Female,25-34
135,2025-07-05,Chandigarh,Affiliate,Male,45-54
136,2025-03-16,Pune,Paid Search,Male,45-54
137,2025-02-28,Bhopal,Direct,Male,45-54
138,2025-03-28,Bhopal,Paid Social,Male,45-54
139,2025-11-27,Bengaluru,Paid Social,Male,18-24
140,2025-07-16,Gorakhpur,Paid Search,Male,18-24
141,2025-08-22,Kolkata,Paid Social,Male,45-54
142,2024-12-22,Chennai,Affiliate,Male,25-34
143,2025-04-21,Chennai,Paid Search,Male,18-24
144,2024-11-04,Kochi,Direct,Female,18-24
145,2025-11-14,Ahmedabad,Organic Search,Female,45-54
146,2024-12-03,Delhi,Direct,Male,35-44
147,2024-11-23,Pune,Referral,Female,35-44
148,2024-12-17,Bhopal,Paid Social,Male,18-24
149,2025-02-05,Indore,Paid Social,Male,45-54
150,2025-06-05,Bengaluru,Direct,Female,18-24
151,2024-11-17,Gorakhpur,Paid Social,Female,18-24
152,2025-06-26,Kochi,Affiliate,Female,25-34
153,2025-03-11,Mumbai,Paid Social,Male,18-24
154,2024-11-12,Pune,Paid Social,Female,25-34
155,2025-05-28,Mumbai,Direct,Female,18-24
156,2025-05-12,Chennai,Organic Search,Male,25-34
157,2025-11-07,Ahmedabad,Direct,Male,18-24
158,2025-10-23,Mumbai,Organic Search,Male,45-54
159,2025-01-19,Chandigarh,Paid Search,Female,35-44
160,2025-05-30,Lucknow,Paid Social,Male,35-44
161,2025-08-12,Kochi,Direct,Male,35-44
162,2024-12-04,Hyderabad,Direct,Male,35-44
163,2025-05-31,Chandigarh,Affiliate,Male,45-54
164,2025-02-01,Gorakhpur,Paid Social,Male,18-24
165,2025-12-22,Delhi,Referral,Female,45-54
166,2025-01-24,Chandigarh,Direct,Female,18-24
167,2024-11-01,Pune,Organic Search,Female,18-24
168,2025-11-26,Pune,Paid Social,Male,45-54
169,2025-02-16,Gorakhpur,Paid Social,Female,25-34
170,2024-12-25,Jaipur,Paid Social,Male,25-34
171,2025-04-06,Gorakhpur,Paid Social,Male,18-24
172,2025-01-05,Kochi,Paid Search,Female,25-34
173,2024-11-09,Ahmedabad,Paid Search,Male,18-24
174,2025-01-05,Indore,Direct,Female,18-24
175,2025-07-03,Delhi,Direct,Female,35-44
176,2025-03-31,Indore,Affiliate,Female,35-44
177,2024-11-16,Pune,Affiliate,Male,18-24
178,2025-08-08,Chandigarh,Organic Search,Female,18-24
179,2024-12-21,Gorakhpur,Referral,Female,45-54
180,2025-03-26,Kochi,Organic Search,Male,35-44
181,2024-11-23,Bhopal,Affiliate,Male,18-24
182,2024-12-11,Bengaluru,Paid Search,Male,18-24
183,2024-12-15,Kolkata,Paid Search,Male,25-34
184,2025-11-15,Jaipur,Email,Male,45-54
185,2024-12-09,Bhopal,Paid Social,Male,35-44
186,2025-09-10,Mumbai,Paid Search,Female,18-24
187,2024-11-28,Bengaluru,Affiliate,Male,18-24
188,2025-10-11,Chandigarh,Email,Male,35-44
189,2024-11-09,Chennai,Paid Search,Female,35-44
190,2025-07-21,Chennai,Paid Social,Male,45-54
191,2025-12-29,Indore,Affiliate,Male,25-34
192,2024-11-21,Bengaluru,Referral,Female,35-44
193,2025-05-25,Bengaluru,Direct,Male,18-24
194,2025-08-01,Indore,Paid Social,Male,18-24
195,2024-12-04,Kolkata,Referral,Female,18-24
196,2025-12-12,Pune,Organic Search,Female,25-34
197,2025-10-24,Indore,Paid Search,Male,45-54
198,2025-12-13,Mumbai,Organic Search,Female,45-54
199,2024-11-07,Kolkata,Paid Search,Male,25-34
200,2024-12-13,Chennai,Paid Social,Male,45-54
201,2025-06-29,Chennai,Direct,Female,25-34
202,2024-11-07,Chandigarh,Organic Search,Male,18-24
203,2024-11-22,Ahmedabad,Organic Search,Female,18-24
204,2025-04-06,Hyderabad,Referral,Female,45-54
205,2024-12-21,Delhi,Organic Search,Male,35-44
206,2025-09-10,Bengaluru,Direct,Female,35-44
207,2024-11-21,Chennai,Direct,Female,18-24
208,2025-06-16,Delhi,Paid Social,Female,45-54
209,2025-09-27,Jaipur,Paid Search,Female,45-54
210,2024-11-12,Mumbai,Affiliate,Female,25-34
211,2024-11-17,Chennai,Affiliate,Male,18-24
212,2025-04-28,Kochi,Paid Social,Female,18-24
213,2024-12-02,Chandigarh,Direct,Female,35-44
214,2024-11-15,Bengaluru,Referral,Female,45-54
215,2025-09-07,Bengaluru,Paid Social,Female,45-54
216,2024-11-26,Delhi,Organic Search,Female,45-54
217,2025-10-15,Lucknow,Organic Search,Male,35-44
218,2025-03-20,Ahmedabad,Email,Female,35-44
219,2025-01-31,Gorakhpur,Paid Social,Male,25-34
220,2025-05-23,Chandigarh,Affiliate,Female,45-54
221,2025-08-14,Jaipur,Paid Social,Male,35-44
222,2025-11-03,Kolkata,Paid Search,Female,18-24
223,2025-01-08,Bhopal,Organic Search,Male,35-44
224,2024-11-05,Jaipur,Referral,Female,25-34
225,2025-12-13,Gorakhpur,Organic Search,Female,18-24
226,2025-08-04,Lucknow,Referral,Male,45-54
227,2025-01-20,Kochi,Affiliate,Female,25-34
228,2025-05-03,Indore,Affiliate,Female,18-24
229,2025-07-01,Lucknow,Paid Social,Male,25-34
230,2025-09-16,Ahmedabad,Affiliate,Male,25-34
231,2025-03-16,Hyderabad,Organic Search,Male,18-24
232,2025-04-02,Bhopal,Organic Search,Male,25-34
233,2025-01-15,Chandigarh,Organic Search,Male,35-44
234,2024-11-05,Indore,Organic Search,Male,18-24
235,2025-09-22,Mumbai,Email,Female,45-54
236,2025-04-30,Chennai,Paid Social,Female,25-34
237,2025-07-17,Gorakhpur,Paid Search,Male,35-44
238,2024-11-26,Indore,Referral,Male,35-44
239,2024-12-09,Delhi,Paid Search,Female,35-44
240,2024-11-16,Indore,Direct,Male,45-54
241,2025-09-25,Lucknow,Affiliate,Female,35-44
242,2025-11-08,Hyderabad,Referral,Male,18-24
243,2025-11-18,Indore,Organic Search,Female,35-44
244,2025-12-19,Bhopal,Organic Search,Male,35-44
245,2025-02-26,Hyderabad,Paid Social,Male,35-44
246,2024-12-19,Bengaluru,Organic Search,Female,45-54
247,2025-07-17,Bhopal,Referral,Female,45-54
248,2025-01-19,Kochi,Paid Social,Female,25-34
249,2024-11-24,Kochi,Organic Search,Female,18-24
250,2025-01-08,Mumbai,Referral,Female,45-54
251,2024-11-23,Bhopal,Organic Search,Male,35-44
252,2025-05-04,Ahmedabad,Direct,Male,45-54
253,2025-11-22,Bhopal,Organic Search,Female,18-24
254,2024-11-11,Hyderabad,Organic Search,Female,35-44
255,2025-06-07,Mumbai,Paid Social,Female,45-54
256,2024-11-22,Kolkata,Paid Social,Female,45-54
257,2024-12-03,Delhi,Organic Search,Male,18-24
258,2025-03-09,Chandigarh,Organic Search,Female,45-54
259,2025-10-22,Gorakhpur,Paid Social,Male,25-34
260,2025-01-26,Delhi,Paid Social,Female,35-44
261,2025-02-23,Kochi,Paid Social,Female,18-24
262,2024-11-21,Mumbai,Direct,Female,35-44
263,2025-08-30,Chandigarh,Paid Social,Male,18-24
264,2025-09-19,Kolkata,Affiliate,Male,45-54
265,2025-04-24,Pune,Paid Social,Female,18-24
266,2025-03-22,Chandigarh,Email,Male,25-34
267,2024-11-15,Delhi,Affiliate,Male,25-34
268,2025-12-12,Delhi,Affiliate,Female,18-24
269,2025-12-23,Kochi,Paid Search,Male,35-44
270,2025-01-08,Chandigarh,Direct,Female,45-54
271,2025-04-16,Kochi,Paid Search,Female,45-54
272,2025-11-06,Indore,Organic Search,Male,45-54
273,2024-11-13,Lucknow,Organic Search,Male,18-24
274,2025-11-11,Mumbai,Paid Search,Male,35-44
275,2025-10-12,Gorakhpur,Paid Social,Female,45-54
276,2024-11-03,Delhi,Paid Social,Male,45-54
277,2024-11-03,Chennai,Email,Male,18-24
278,2025-07-24,Bhopal,Email,Female,35-44
279,2025-09-04,Pune,Paid Social,Male,18-24
280,2025-12-12,Pune,Paid Social,Male,45-54
281,2025-08-10,Indore,Paid Social,Female,18-24
282,2024-11-30,Kochi,Organic Search,Female,45-54
283,2025-08-01,Kochi,Email,Female,25-34
284,2024-11-06,Kolkata,Direct,Female,18-24
285,2024-11-26,Hyderabad,Email,Male,25-34
286,2024-11-02,Chennai,Organic Search,Male,35-44
287,2025-01-25,Kolkata,Paid Search,Male,18-24
288,2025-06-18,Ahmedabad,Paid Social,Male,25-34
289,2025-12-04,Jaipur,Paid Search,Female,25-34
290,2025-09-17,Kochi,Paid Social,Male,35-44
291,2024-11-02,Kochi,Organic Search,Male,25-34
292,2025-09-29,Gorakhpur,Direct,Female,45-54
293,2025-03-27,Chandigarh,Email,Male,45-54
294,2025-11-02,Lucknow,Direct,Male,25-34
295,2024-12-17,Pune,Affiliate,Male,35-44
296,2025-02-16,Chennai,Paid Social,Female,25-34
297,2025-03-06,Kochi,Direct,Male,18-24
298,2024-11-01,Kochi,Referral,Male,35-44
299,2025-01-01,Mumbai,Organic Search,Female,35-44
300,2025-05-28,Pune,Email,Male,35-44
301,2024-11-30,Hyderabad,Paid Search,Male,45-54
302,2025-06-07,Indore,Direct,Female,45-54
303,2025-12-29,Kolkata,Paid Social,Female,18-24
304,2025-04-29,Kochi,Referral,Female,25-34
305,2025-06-21,Ahmedabad,Direct,Male,35-44
306,2025-03-24,Kochi,Affiliate,Male,25-34
307,2024-12-30,Indore,Paid Search,Female,25-34
308,2025-11-25,Gorakhpur,Email,Female,35-44
309,2024-12-09,Kolkata,Email,Male,35-44
310,2025-01-27,Ahmedabad,Paid Search,Male,45-54
311,2024-11-04,Lucknow,Direct,Male,18-24
312,2025-03-08,Mumbai,Organic Search,Male,45-54
313,2025-04-03,Kochi,Paid Social,Male,25-34
314,2025-12-25,Lucknow,Paid Social,Male,45-54
315,2024-11-19,Delhi,Email,Male,45-54
316,2025-01-13,Chennai,Referral,Male,18-24
317,2025-02-28,Chandigarh,Organic Search,Female,25-34
318,2025-03-16,Mumbai,Affiliate,Female,45-54
319,2025-05-24,Ahmedabad,Paid Social,Female,18-24
320,2025-04-05,Bengaluru,Direct,Male,25-34
321,2024-11-01,Indore,Organic Search,Female,35-44
322,2025-01-05,Jaipur,Organic Search,Male,25-34
323,2024-11-06,Pune,Organic Search,Female,35-44
324,2025-02-20,Delhi,Direct,Female,45-54
325,2025-01-22,Bhopal,Organic Search,Male,45-54
326,2024-11-01,Delhi,Paid Social,Female,18-24
327,2025-05-02,Chennai,Organic Search,Male,18-24
328,2025-01-28,Chandigarh,Direct,Female,18-24
329,2025-05-04,Mumbai,Organic Search,Male,18-24
330,2024-11-04,Ahmedabad,Organic Search,Female,35-44
331,2025-03-09,Indore,Organic Search,Male,18-24
332,2025-01-02,Gorakhpur,Direct,Female,25-34
333,2025-02-14,Jaipur,Email,Male,18-24
334,2024-12-27,Ahmedabad,Affiliate,Female,25-34
335,2025-08-12,Hyderabad,Affiliate,Female,45-54
336,2024-12-31,Ahmedabad,Organic Search,Male,45-54
337,2025-01-12,Gorakhpur,Organic Search,Female,18-24
338,2025-09-15,Delhi,Direct,Male,18-24
339,2025-07-12,Pune,Organic Search,Male,45-54
340,2025-12-23,Ahmedabad,Paid Social,Female,25-34
341,2025-10-09,Chennai,Email,Male,35-44
342,2025-02-17,Kochi,Organic Search,Male,18-24
343,2024-11-01,Gorakhpur,Organic Search,Female,35-44
344,2025-10-22,Pune,Referral,Male,18-24
345,2025-01-27,Mumbai,Paid Social,Female,45-54
346,2024-12-23,Kochi,Paid Social,Female,45-54
347,2025-06-01,Mumbai,Affiliate,Female,18-24
348,2025-12-18,Mumbai,Affiliate,Female,45-54
349,2025-08-26,Delhi,Direct,Male,35-44
350,2025-05-13,Bhopal,Email,Male,25-34
351,2025-03-13,Bhopal,Paid Search,Female,18-24
352,2024-11-06,Bengaluru,Direct,Male,25-34
353,2025-12-16,Chennai,Direct,Female,18-24
354,2025-02-20,Ahmedabad,Direct,Female,45-54
355,2024-11-21,Bhopal,Affiliate,Other,18-24
356,2024-11-01,Jaipur,Referral,Male,45-54
357,2025-10-06,Ahmedabad,Organic Search,Female,35-44
358,2025-12-10,Hyderabad,Organic Search,Male,45-54
359,2025-02-08,Ahmedabad,Paid Social,Female,45-54
360,2024-11-09,Chennai,Paid Search,Female,45-54
361,2025-07-24,Kolkata,Organic Search,Female,18-24
362,2025-09-09,Lucknow,Affiliate,Male,25-34
363,2025-06-04,Chennai,Paid Search,Female,18-24
364,2025-09-04,Chennai,Affiliate,Male,45-54
365,2025-07-08,Ahmedabad,Paid Social,Female,25-34
366,2024-11-01,Gorakhpur,Paid Social,Male,35-44
367,2025-04-12,Mumbai,Paid Social,Female,25-34
368,2025-03-17,Indore,Affiliate,Male,18-24
369,2024-12-18,Mumbai,Organic Search,Male,45-54
370,2024-12-07,Hyderabad,Affiliate,Male,18-24
371,2025-07-31,Gorakhpur,Organic Search,Male,18-24
372,2025-08-09,Gorakhpur,Paid Search,Male,25-34
373,2025-12-06,Indore,Organic Search,Female,45-54
374,2025-09-17,Jaipur,Paid Search,Male,25-34
375,2025-06-24,Kochi,Organic Search,Female,45-54
376,2025-06-06,Chennai,Direct,Female,45-54
377,2025-02-14,Indore,Direct,Male,35-44
378,2025-02-06,Pune,Paid Social,Female,25-34
379,2024-11-18,Bhopal,Direct,Male,35-44
380,2025-09-20,Chennai,Paid Search,Male,25-34
381,2024-12-03,Pune,Direct,Male,25-34
382,2025-12-18,Delhi,Direct,Female,35-44
383,2025-07-04,Jaipur,Affiliate,Female,45-54
384,2025-06-15,Jaipur,Email,Female,45-54
385,2025-08-30,Bengaluru,Paid Search,Female,18-24
386,2025-06-13,Chandigarh,Organic Search,Male,35-44
387,2025-06-20,Bengaluru,Organic Search,Male,35-44
388,2024-12-04,Chennai,Paid Search,Male,18-24
389,2025-05-15,Jaipur,Direct,Male,45-54
390,2024-12-13,Chandigarh,Affiliate,Male,18-24
391,2025-11-12,Chandigarh,Paid Social,Male,35-44
392,2025-12-08,Indore,Organic Search,Female,45-54
393,2025-09-12,Indore,Email,Male,35-44
394,2025-07-30,Lucknow,Paid Search,Female,25-34
395,2024-12-31,Gorakhpur,Organic Search,Female,25-34
396,2025-07-18,Bengaluru,Organic Search,Female,35-44
397,2024-11-17,Pune,Paid Search,Female,45-54
398,2025-07-04,Delhi,Organic Search,Male,18-24
399,2025-08-09,Kochi,Direct,Male,45-54
400,2025-08-19,Mumbai,Paid Search,Male,35-44
401,2025-04-01,Jaipur,Referral,Female,25-34
402,2025-02-13,Mumbai,Paid Search,Female,25-34
403,2025-06-09,Pune,Paid Social,Female,45-54
404,2025-12-28,Gorakhpur,Affiliate,Female,35-44
405,2025-02-25,Lucknow,Email,Male,25-34
406,2025-12-03,Chennai,Direct,Female,18-24
407,2025-02-01,Pune,Paid Search,Female,35-44
408,2025-03-27,Ahmedabad,Paid Search,Female,25-34
409,2025-01-08,Mumbai,Organic Search,Female,18-24
410,2025-05-21,Gorakhpur,Organic Search,Male,45-54
411,2025-09-15,Kochi,Organic Search,Male,45-54
412,2025-05-31,Indore,Referral,Male,18-24
413,2025-03-03,Mumbai,Paid Social,Female,25-34
414,2025-08-21,Lucknow,Paid Search,Male,35-44
415,2025-02-10,Kolkata,Paid Search,Female,18-24
416,2025-02-03,Bengaluru,Organic Search,Male,18-24
417,2025-07-30,Indore,Paid Search,Male,35-44
418,2025-11-13,Chandigarh,Organic Search,Male,18-24
419,2024-12-26,Kolkata,Email,Female,18-24
420,2025-03-09,Delhi,Paid Search,Male,35-44
421,2025-12-04,Gorakhpur,Organic Search,Male,35-44
422,2025-12-02,Kochi,Organic Search,Male,18-24
423,2024-11-03,Kolkata,Paid Search,Female,18-24
424,2025-01-03,Bhopal,Direct,Male,25-34
425,2025-02-12,Jaipur,Direct,Female,25-34
426,2024-12-08,Hyderabad,Affiliate,Female,18-24
427,2025-09-25,Jaipur,Referral,Female,18-24
428,2024-12-29,Mumbai,Organic Search,Female,45-54
429,2025-11-28,Gorakhpur,Paid Social,Male,18-24
430,2024-12-28,Hyderabad,Organic Search,Female,45-54
431,2025-01-11,Indore,Direct,Male,35-44
432,2025-08-29,Delhi,Referral,Female,25-34
433,2025-08-16,Gorakhpur,Direct,Female,35-44
434,2024-11-18,Bhopal,Direct,Female,45-54
435,2025-01-22,Jaipur,Paid Social,Female,18-24
436,2025-09-19,Delhi,Email,Male,25-34
437,2024-12-21,Mumbai,Email,Male,18-24
438,2025-09-24,Kochi,Direct,Male,45-54
439,2025-08-07,Bengaluru,Organic Search,Male,45-54
440,2025-06-04,Kolkata,Organic Search,Female,35-44
441,2024-11-18,Mumbai,Paid Search,Female,18-24
442,2025-06-09,Chandigarh,Affiliate,Other,25-34
443,2025-07-31,Delhi,Organic Search,Female,25-34
444,2025-07-19,Chennai,Paid Search,Female,45-54
445,2024-12-11,Hyderabad,Paid Social,Female,25-34
446,2025-03-29,Kolkata,Affiliate,Female,45-54
447,2025-10-14,Gorakhpur,Organic Search,Female,35-44
448,2025-09-15,Jaipur,Paid Social,Male,45-54
449,2025-06-04,Gorakhpur,Paid Social,Male,18-24
450,2025-03-28,Bhopal,Paid Social,Female,45-54
451,2025-01-20,Ahmedabad,Email,Male,18-24
452,2025-03-22,Delhi,Organic Search,Female,35-44
453,2024-12-06,Chennai,Organic Search,Male,18-24
454,2025-06-08,Chennai,Paid Social,Male,45-54
455,2025-06-15,Lucknow,Paid Search,Female,45-54
456,2024-11-01,Lucknow,Organic Search,Male,25-34
457,2025-05-22,Lucknow,Organic Search,Female,25-34
458,2024-12-19,Kolkata,Organic Search,Male,18-24
459,2025-10-12,Kochi,Direct,Female,18-24
460,2024-12-07,Ahmedabad,Direct,Male,25-34
461,2024-12-08,Delhi,Paid Social,Male,25-34
462,2025-05-19,Delhi,Paid Search,Male,35-44
463,2025-11-09,Mumbai,Paid Search,Female,45-54
464,2024-11-17,Jaipur,Organic Search,Male,45-54
465,2025-09-10,Delhi,Direct,Female,18-24
466,2025-10-11,Chandigarh,Paid Search,Female,45-54
467,2025-06-07,Jaipur,Email,Male,45-54
468,2025-03-31,Bengaluru,Paid Social,Male,45-54
469,2024-12-11,Chandigarh,Affiliate,Male,35-44
470,2025-05-02,Chandigarh,Direct,Male,18-24
471,2025-02-17,Chandigarh,Paid Social,Female,18-24
472,2024-12-27,Kolkata,Email,Female,18-24
473,2025-07-04,Lucknow,Affiliate,Female,18-24
474,2025-01-28,Chandigarh,Organic Search,Female,35-44
475,2024-11-12,Lucknow,Paid Search,Female,45-54
476,2025-04-20,Gorakhpur,Direct,Female,25-34
477,2025-02-12,Ahmedabad,Affiliate,Female,45-54
478,2024-12-18,Chennai,Paid Social,Male,45-54
479,2025-07-19,Gorakhpur,Email,Female,25-34
480,2025-02-26,Delhi,Direct,Female,45-54
481,2025-08-17,Lucknow,Affiliate,Male,18-24
482,2024-11-23,Bengaluru,Referral,Male,25-34
483,2025-03-08,Mumbai,Direct,Female,25-34
484,2025-01-26,Indore,Direct,Female,45-54
485,2025-05-14,Indore,Paid Search,Male,18-24
486,2025-11-24,Gorakhpur,Affiliate,Female,18-24
487,2024-12-03,Chandigarh,Direct,Female,25-34
488,2024-11-02,Jaipur,Paid Search,Male,25-34
489,2025-06-15,Gorakhpur,Paid Social,Female,25-34
490,2024-11-09,Kolkata,Paid Social,Female,45-54
491,2025-02-09,Bengaluru,Organic Search,Male,18-24
492,2025-11-07,Indore,Paid Search,Male,35-44
493,2025-01-18,Hyderabad,Affiliate,Male,25-34
494,2025-03-01,Bengaluru,Paid Social,Female,45-54
495,2025-03-24,Jaipur,Paid Search,Female,18-24
496,2025-08-27,Bhopal,Referral,Female,35-44
497,2025-06-26,Lucknow,Referral,Female,25-34
498,2025-07-31,Ahmedabad,Referral,Male,18-24
499,2025-03-13,Kolkata,Paid Social,Male,25-34
500,2025-06-16,Chennai,Paid Social,Female,35-44
501,2025-03-28,Kochi,Organic Search,Female,35-44
502,2024-11-10,Kochi,Direct,Female,25-34
503,2025-03-10,Bhopal,Paid Social,Male,25-34
504,2025-11-25,Bhopal,Direct,Female,25-34
505,2024-12-12,Pune,Paid Social,Female,25-34
506,2025-09-15,Chennai,Affiliate,Female,18-24
507,2024-11-15,Gorakhpur,Organic Search,Female,18-24
508,2025-08-04,Bengaluru,Paid Search,Male,35-44
509,2025-05-18,Bhopal,Paid Search,Male,35-44
510,2025-03-17,Bhopal,Referral,Female,45-54
